
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.1.4)
2023-11-22T15:24:55.527Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.Locale -> org.hibernate.type.BasicTypeReference@408a247c
2023-11-22T15:24:55.527Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration serializable -> org.hibernate.type.BasicTypeReference@62a8fd44
2023-11-22T15:24:55.527Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.io.Serializable -> org.hibernate.type.BasicTypeReference@62a8fd44
2023-11-22T15:24:55.527Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration timezone -> org.hibernate.type.BasicTypeReference@2e6ba49a
2023-11-22T15:24:55.527Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.TimeZone -> org.hibernate.type.BasicTypeReference@2e6ba49a
2023-11-22T15:24:55.527Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration ZoneOffset -> org.hibernate.type.BasicTypeReference@5f5b5ca4
2023-11-22T15:24:55.527Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.ZoneOffset -> org.hibernate.type.BasicTypeReference@5f5b5ca4
2023-11-22T15:24:55.527Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration url -> org.hibernate.type.BasicTypeReference@4ee33af7
2023-11-22T15:24:55.527Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.net.URL -> org.hibernate.type.BasicTypeReference@4ee33af7
2023-11-22T15:24:55.527Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration row_version -> org.hibernate.type.BasicTypeReference@6b04acb2
2023-11-22T15:24:55.540Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration object -> org.hibernate.type.JavaObjectType@4a1e3ac1
2023-11-22T15:24:55.543Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Object -> org.hibernate.type.JavaObjectType@4a1e3ac1
2023-11-22T15:24:55.544Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration null -> org.hibernate.type.NullType@294bdeb4
2023-11-22T15:24:55.544Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_date -> org.hibernate.type.BasicTypeReference@5300f14a
2023-11-22T15:24:55.544Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_time -> org.hibernate.type.BasicTypeReference@1f86099a
2023-11-22T15:24:55.546Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_timestamp -> org.hibernate.type.BasicTypeReference@77bb0ab5
2023-11-22T15:24:55.546Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_calendar -> org.hibernate.type.BasicTypeReference@f2c488
2023-11-22T15:24:55.546Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_calendar_date -> org.hibernate.type.BasicTypeReference@54acff7d
2023-11-22T15:24:55.546Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_calendar_time -> org.hibernate.type.BasicTypeReference@7bc9e6ab
2023-11-22T15:24:55.546Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_binary -> org.hibernate.type.BasicTypeReference@5488b5c5
2023-11-22T15:24:55.546Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_serializable -> org.hibernate.type.BasicTypeReference@4248ed58
